level,word,choice_1,choice_2,choice_3,answer,explanation,status
3,implicitly,in a suggested but unstated way,very loudly,with official permission,1,Implicitly means in a way that is suggested but not directly stated.,approved
3,notably,especially or importantly,never before,with no evidence,1,Notably means especially or in a way worth noticing.,approved
3,substantially,greatly or by a large amount,only slightly,with no purpose,1,Substantially means greatly or by a large amount.,approved
3,strategically,according to a careful plan,without any goal,only locally,1,Strategically means in a way planned to achieve a goal.,approved
3,systematically,in an organized methodical way,randomly,emotionally,1,Systematically means in an organized and methodical way.,approved
3,overwhelmingly,by a very large amount or majority,almost never,with little effect,1,Overwhelmingly means by a very large amount or majority.,approved
3,comparatively,when compared with something else,completely alone,without change,1,Comparatively means when compared with something else.,approved
3,anomaly,something that is different from what is normal,a confirmed rule,a small payment,1,An anomaly is something unusual or different from what is expected.,approved
3,austerity,severe economy or reduced spending,a large celebration,a sudden improvement,1,Austerity means strict economy or reduced spending especially by a government.,approved
3,causality,the relationship between cause and effect,a random choice,a legal document,1,Causality is the relationship between cause and effect.,approved
3,commoditization,the process of making products seem interchangeable,a private complaint,a yearly review,1,Commoditization is the process by which products become hard to distinguish except by price.,approved
3,constituency,a group represented by an elected person or sharing interests,a product defect,a casual meeting,1,A constituency is a group of voters or people represented by someone.,approved
3,convergence,the movement toward becoming similar or meeting,a sudden separation,a hidden penalty,1,Convergence is the process of coming together or becoming more similar.,approved
3,credibility,the quality of being believable or trusted,a fixed location,a small discount,1,Credibility is the quality of being trusted or believed.,approved
3,deviation,a difference from a normal path or standard,a complete agreement,a legal permission,1,Deviation is a difference from what is normal expected or planned.,approved
3,deterrence,the act of preventing action through fear of consequences,a public reward,a quick recovery,1,Deterrence is the prevention of action by making consequences seem costly.,approved
3,dispersion,the spreading of things over an area,a final decision,a private habit,1,Dispersion is the spreading of people things or values over an area or range.,approved
3,distortion,a change that makes something inaccurate,a clear explanation,a stable pattern,1,Distortion is a change that makes something false or inaccurate.,approved
3,elasticity,the ability to change and return or respond to change,a legal conflict,a fixed shortage,1,Elasticity is the ability to stretch recover or respond to changes.,approved
3,equilibrium,a balanced state,a sharp decline,a temporary error,1,Equilibrium is a balanced or stable state.,approved
3,escalation,an increase in seriousness or amount,a peaceful settlement,a short delay,1,Escalation is an increase in intensity seriousness or amount.,approved
3,fragmentation,the process of breaking into smaller parts,a smooth combination,a final payment,1,Fragmentation is the process of breaking into smaller separate parts.,approved
3,globalization,the process of becoming connected worldwide,a local routine,a private restriction,1,Globalization is the process of increasing worldwide connection and exchange.,approved
3,impartiality,fairness without bias,a strong preference,a legal penalty,1,Impartiality means fairness and lack of bias.,approved
3,inevitability,the certainty that something will happen,a weak possibility,a casual choice,1,Inevitability is the quality of being certain to happen.,approved
3,insolvency,the state of being unable to pay debts,a sudden profit,a public award,1,Insolvency is the state of being unable to pay debts.,approved
3,jurisdiction,legal authority over an area or issue,a product sample,a personal habit,1,Jurisdiction is legal authority over an area person or issue.,approved
3,legitimacy,the quality of being lawful or accepted as valid,a minor error,a hidden delay,1,Legitimacy is the quality of being lawful acceptable or justified.,approved
3,litigation,the process of taking legal action,a normal routine,a business celebration,1,Litigation is the process of taking a dispute to court.,approved
3,longevity,long life or lasting for a long time,a sudden shortage,a legal error,1,Longevity means long life or long duration.,approved
3,momentum,the force or progress that keeps something moving,a complete stop,a private message,1,Momentum is force progress or energy that keeps something moving forward.,approved
3,plurality,the state of being many or the largest share without a majority,a single fixed rule,a legal complaint,1,Plurality means a state of being many or the largest share short of a majority.,approved
3,polarization,division into opposing groups or opinions,a broad agreement,a small adjustment,1,Polarization is division into strongly opposing groups or opinions.,approved
3,precedent,an earlier example used as a guide,a future prediction,a private warning,1,A precedent is an earlier example or decision used as a guide.,approved
3,proliferation,rapid increase or spread,a stable decrease,a formal approval,1,Proliferation is rapid increase or spread.,approved
3,reciprocity,mutual exchange or response,a one-sided refusal,a hidden defect,1,Reciprocity is mutual exchange or response between people or groups.,approved
3,redundancy,unnecessary repetition or loss of a job because it is no longer needed,a unique feature,a major shortage,1,Redundancy means unnecessary repetition or job loss due to no longer being needed.,approved
3,scarcity,a lack of enough supply,a large abundance,a confirmed result,1,Scarcity is a lack of enough supply.,approved
3,sovereignty,the authority of a state to govern itself,a business discount,a private routine,1,Sovereignty is the authority of a country or state to govern itself.,approved
3,stagnation,lack of growth or progress,a rapid improvement,a legal settlement,1,Stagnation is a lack of growth movement or progress.,approved
3,susceptibility,the state of being easily affected or harmed,a strong resistance,a public approval,1,Susceptibility is the state of being easily affected harmed or influenced.,approved
3,threshold,a point at which something begins or changes,a final cancellation,a minor preference,1,A threshold is the point at which something begins changes or becomes true.,approved
3,trajectory,the path or direction of development,a fixed regulation,a sudden reward,1,Trajectory is the path or direction that something follows over time.,approved
3,turbulence,confusion instability or violent movement,a stable calm,a legal permission,1,Turbulence is confusion instability or violent movement.,approved
3,utilization,the act of using something effectively,a product defect,a private complaint,1,Utilization is the act of using something especially effectively.,approved
3,volatility,the quality of changing suddenly or unpredictably,a stable condition,a minor detail,1,Volatility is the quality of changing suddenly or unpredictably.,approved
3,vulnerability,the state of being open to harm or attack,a complete protection,a quick solution,1,Vulnerability is the state of being open to harm damage or attack.,approved
3,aberration,a departure from what is normal,a repeated standard,a legal permission,1,An aberration is something that departs from what is normal or expected.,approved
3,absolution,formal release from guilt or blame,a financial forecast,a business merger,1,Absolution is formal release from guilt blame or responsibility.,approved
3,accountability,responsibility for actions and outcomes,a minor discount,a hidden location,1,Accountability is responsibility for actions decisions and outcomes.,approved
3,accretion,gradual growth by adding layers or parts,a sudden collapse,a legal complaint,1,Accretion is gradual growth by the addition of small amounts.,approved
3,acquiescence,quiet acceptance without protest,a forceful objection,a rapid decrease,1,Acquiescence is acceptance of something without protest.,approved
3,adaptability,the ability to adjust to new conditions,a fixed limitation,a formal penalty,1,Adaptability is the ability to adjust to new conditions.,approved
3,adjacency,the state of being next to something,a distant relationship,a final rejection,1,Adjacency means being next to or near something.,approved
3,adjudication,the process of making an official judgment,a casual suggestion,a private routine,1,Adjudication is the process of making an official decision or judgment.,approved
3,aggregation,the gathering of separate items into a whole,a sudden separation,a local exception,1,Aggregation is the collection of separate items into a group or whole.,approved
3,altruism,concern for the welfare of others,selfish advantage,a legal boundary,1,Altruism is unselfish concern for other people.,approved
3,ambiguity,unclear meaning or more than one possible meaning,a precise rule,a complete refusal,1,Ambiguity is uncertainty or more than one possible meaning.,approved
3,amortization,gradual repayment or reduction of a debt,a public protest,a sudden expansion,1,Amortization is the gradual repayment or reduction of a debt over time.,approved
3,annihilation,total destruction,a partial improvement,a routine agreement,1,Annihilation means complete destruction.,approved
3,antagonism,strong opposition or hostility,a mutual benefit,a quiet approval,1,Antagonism is active opposition or hostility.,approved
3,antiquity,the ancient past,a future estimate,a brief interruption,1,Antiquity means the ancient past.,approved
3,arbitrariness,the quality of being based on chance or personal choice,a clear necessity,a stable pattern,1,Arbitrariness is the quality of lacking a clear reason or principle.,approved
3,articulation,clear expression or joining of parts,a hidden assumption,a financial loss,1,Articulation is clear expression of ideas or the connection of parts.,approved
3,assertion,a confident statement,a silent agreement,a minor change,1,An assertion is a confident statement that something is true.,approved
3,asymmetry,lack of equality or balance between sides,perfect balance,a quick recovery,1,Asymmetry is a lack of equality or balance between parts.,approved
3,attenuation,the reduction of force effect or value,a rapid increase,a formal reward,1,Attenuation is the weakening or reduction of something.,approved
3,authenticity,the quality of being genuine,a false appearance,a temporary shortage,1,Authenticity is the quality of being real genuine or trustworthy.,approved
3,autonomy,independence or self-government,a strict dependency,a public error,1,Autonomy is independence or the ability to govern oneself.,approved
3,bifurcation,a division into two branches,a complete merger,a repeated habit,1,Bifurcation is a division into two branches or parts.,approved
3,brokerage,the business of arranging transactions,a legal verdict,a sudden disaster,1,Brokerage is the business of arranging deals between buyers and sellers.,approved
3,calibration,the adjustment of a tool or scale for accuracy,a casual complaint,a final cancellation,1,Calibration is the adjustment of equipment or measures for accuracy.,approved
3,capitalization,company stock-market value or use of funds,a biological adaptation,a private invitation,1,Capitalization is the use of capital or the market value of a company.,approved
3,centralization,the concentration of control in one place,a spread of authority,a minor detail,1,Centralization is the concentration of authority or control in one place.,approved
3,circumvention,the act of avoiding a rule or obstacle directly,a strict compliance,a clear explanation,1,Circumvention is the act of avoiding or getting around a rule or obstacle.,approved
3,coexistence,the state of existing together,a forced separation,a sudden decline,1,Coexistence is the state of existing together at the same time or place.,approved
3,collateral,security promised for a loan or secondary effect,a verbal apology,a temporary worker,1,Collateral is property promised as security for a loan or a secondary effect.,approved
3,commodification,the process of turning something into a market product,a legal exemption,a stable identity,1,Commodification is the process of treating something as a product to be bought and sold.,approved
3,compartmentalization,the separation of things into distinct sections,a broad integration,a final estimate,1,Compartmentalization is the division of something into separate parts.,approved
3,complacency,self-satisfaction that prevents concern or effort,a strong urgency,a public obligation,1,Complacency is too much satisfaction with oneself or a situation.,approved
3,concession,something given up to reach agreement,a complete victory,a random fluctuation,1,A concession is something given up in order to reach agreement.,approved
3,congruence,agreement or matching between things,a serious mismatch,a hidden penalty,1,Congruence is agreement harmony or matching between things.,approved
3,consolidation,the combining of parts into a stronger whole,a gradual fragmentation,a legal exception,1,Consolidation is the combining of separate parts into one stronger whole.,approved
3,contingency,a possible event that may require action,a guaranteed outcome,a private benefit,1,A contingency is a possible future event that requires planning.,approved
3,contradiction,a conflict between statements or ideas,a logical agreement,a simple procedure,1,A contradiction is a conflict between statements facts or ideas.,approved
3,correlation,a relationship between two variables or facts,a complete independence,a public restriction,1,Correlation is a relationship or connection between two things.,approved
3,decentralization,the transfer of control away from a center,a concentration of power,a single decision,1,Decentralization is the transfer of authority away from a central body.,approved
3,deconstruction,the analysis of something by breaking it apart,a rapid construction,a legal approval,1,Deconstruction is analysis by breaking something into parts or questioning assumptions.,approved
3,degradation,the process of becoming worse,a steady improvement,a formal promotion,1,Degradation is the process of becoming worse or lower in quality.,approved
3,deliberation,careful discussion or thought,a sudden impulse,a hidden error,1,Deliberation is careful thought or discussion before a decision.,approved
3,delineation,clear description or marking of boundaries,a vague omission,a quick merger,1,Delineation is the clear description or marking of something.,approved
3,dependency,reliance on someone or something,complete independence,a final decision,1,Dependency is reliance on someone or something.,approved
3,deprivation,the lack of something necessary,a large surplus,a planned celebration,1,Deprivation is the lack or denial of something necessary.,approved
3,dichotomy,a division into two opposite parts,a smooth continuum,a small addition,1,A dichotomy is a division between two opposite or very different things.,approved
3,diffusion,the spreading of something,a strict concentration,a legal sanction,1,Diffusion is the spreading of ideas substances or people.,approved
3,dilution,the weakening of strength or concentration,a sudden intensification,a complete isolation,1,Dilution is the weakening of something by reducing its concentration or force.,approved
3,disintegration,the process of breaking apart,a full consolidation,a formal certification,1,Disintegration is the process of breaking into parts or losing unity.,approved
3,displacement,the forced movement from a place or position,a stable placement,a quiet approval,1,Displacement is the movement or removal of something from its usual place.,approved
3,dissemination,the spreading of information widely,a secret retention,a minor correction,1,Dissemination is the spread of information ideas or knowledge.,approved
3,dissipation,the gradual disappearance or wasting of energy or resources,a focused accumulation,a guaranteed increase,1,Dissipation is the gradual disappearance or wasting of something.,approved
3,divergence,the process of becoming different,a movement toward sameness,a legal mandate,1,Divergence is the process of becoming different or moving apart.,approved
3,embodiment,a visible example or expression of an idea,a hidden contradiction,a routine cost,1,Embodiment is a clear example or expression of an idea or quality.,approved
3,emancipation,the act of being freed from control,a new restriction,a business acquisition,1,Emancipation is the act of being freed from control or oppression.,approved
3,encapsulation,the act of enclosing or summarizing something,a public disclosure,a sharp decline,1,Encapsulation is enclosing something or expressing it in a compact form.,approved
3,endowment,a gift of money or a natural quality,a forced penalty,a short delay,1,Endowment is a gift of money or a natural ability or quality.,approved
3,entrenchment,the firm establishment of an attitude or system,a temporary absence,a rapid reversal,1,Entrenchment is the firm establishment of a belief system or position.,approved
3,enumeration,the act of listing things one by one,a vague reference,a total deletion,1,Enumeration is the act of listing items one by one.,approved
3,evaporation,the process of turning liquid into vapor or disappearing,a forced integration,a legal judgment,1,Evaporation is the process of becoming vapor or gradually disappearing.,approved
3,exclusion,the act of keeping out,a broad inclusion,a final agreement,1,Exclusion is the act of keeping someone or something out.,approved
3,expediency,the quality of being convenient despite possible unfairness,a principled refusal,a technical failure,1,Expediency is doing what is convenient or useful rather than what is ideal.,approved
3,exploitation,the unfair use of someone or something for benefit,a mutual protection,a public apology,1,Exploitation is the unfair use of someone or something for advantage.,approved
3,extrapolation,the act of estimating from known information,a direct observation,a legal prohibition,1,Extrapolation is estimating or extending from known facts or trends.,approved
3,facilitation,the act of making a process easier,a deliberate obstruction,a sudden collapse,1,Facilitation is the act of making an action or process easier.,approved
3,fungibility,the quality of being interchangeable,a unique identity,a fixed hierarchy,1,Fungibility is the quality of being interchangeable with another identical item.,approved
3,hegemony,dominant influence by one group or state,equal participation,a minor disagreement,1,Hegemony is dominance or leadership by one group state or idea.,approved
3,homogenization,the process of making things more similar,a growth in diversity,a legal conflict,1,Homogenization is the process of making things uniform or similar.,approved
3,incompatibility,the inability to exist or work together,a strong fit,a shared benefit,1,Incompatibility is the inability of things to exist or work together.,approved
3,inconsistency,lack of agreement or sameness,a stable pattern,a final proof,1,Inconsistency is a lack of agreement sameness or reliability.,approved
3,institutionalization,the process of making something part of a formal system,a casual exception,a rapid disappearance,1,Institutionalization is making something part of an established organization or system.,approved
3,integration,the combining of parts into a whole,a deliberate separation,a legal penalty,1,Integration is the act of combining separate parts into a whole.,approved
3,interoperability,the ability of systems to work together,a private monopoly,a severe shortage,1,Interoperability is the ability of systems or organizations to work together.,approved
3,interventionism,a policy of becoming involved in others affairs,a policy of isolation,a neutral observation,1,Interventionism is a policy of actively becoming involved in another situation.,approved
3,legitimization,the process of making something accepted as valid or lawful,a formal rejection,a sudden decline,1,Legitimization is the process of making something seem valid lawful or acceptable.,approved
3,liberalization,the process of reducing restrictions,a rise in strict control,a private negotiation,1,Liberalization is the process of reducing rules restrictions or controls.,approved
3,manifestation,a clear sign or expression of something,a hidden assumption,a fixed parameter,1,A manifestation is a clear sign or expression of something.,approved
3,mediation,the act of helping parties reach agreement,a forced escalation,a random choice,1,Mediation is the process of helping opposing sides reach agreement.,approved
3,militarization,a shift toward armed-force organization,a peaceful withdrawal,a business forecast,1,Militarization is the process of making something more military in nature.,approved
3,mitigation,the reduction of harm risk or severity,a deliberate intensification,a casual meeting,1,Mitigation is the reduction of harm risk or severity.,approved
3,moderation,the avoidance of extremes,a sharp polarization,a complete prohibition,1,Moderation is the avoidance of extremes or the act of making less severe.,approved
3,monopolization,the act of gaining exclusive control over something,a fair distribution,a local adjustment,1,Monopolization is the act of gaining complete or exclusive control.,approved
3,neutrality,the state of not supporting either side,a strong bias,a legal obligation,1,Neutrality is the state of not supporting either side in a conflict.,approved
3,normalization,making something accepted as usual,a sudden disruption,a hidden deviation,1,Normalization is the process of making something normal standard or accepted.,approved
3,obsolescence,the process of becoming outdated,a rapid modernization,a public approval,1,Obsolescence is the process of becoming outdated or no longer useful.,approved
3,optimization,the process of making something as effective as possible,a deliberate inefficiency,a legal dispute,1,Optimization is the process of making something work as well as possible.,approved
3,oscillation,repeated movement between states or positions,a permanent stop,a single decision,1,Oscillation is repeated movement back and forth or between states.,approved
3,overextension,the act of taking on more than can be managed,a careful limitation,a full recovery,1,Overextension is taking on more duties costs or risks than can be handled.,approved
3,parameterization,the act of defining variables or limits,a vague omission,a public celebration,1,Parameterization is the act of defining variables or limits for a system.,approved
3,parity,equality especially in status or amount,a wide imbalance,a private advantage,1,Parity means equality especially in status amount or value.,approved
3,precondition,a condition that must exist before something happens,a final outcome,a random event,1,A precondition is something required before another thing can happen.,approved
3,predisposition,a tendency to think or act in a certain way,a complete neutrality,a legal settlement,1,A predisposition is a tendency or inclination toward something.,approved
3,rationalization,the act of justifying or making more efficient,a sudden confusion,a direct refusal,1,Rationalization is explaining something with reasons or making a system more efficient.,approved
3,redistribution,the act of distributing again in a different way,a stable hierarchy,a hidden error,1,Redistribution is the act of distributing resources or goods again differently.,approved
3,rehabilitation,the process of restoring health ability or reputation,a legal punishment,a short delay,1,Rehabilitation is the process of restoring health ability or reputation.,approved
3,reinforcement,the act of strengthening or supporting,a deliberate weakening,a public complaint,1,Reinforcement is the act of strengthening or supporting something.,approved
3,resilience,the ability to recover from difficulty,a fragile condition,a formal cancellation,1,Resilience is the ability to recover from difficulty or stress.,approved
3,restraint,self-control or a limit,a rapid escalation,a full release,1,Restraint is self-control or something that limits action.,approved
3,segregation,the separation of groups or things,integration,cooperation,1,Segregation is the separation of groups or things from one another.,approved
3,stabilization,the process of making something stable,a sudden collapse,a legal challenge,1,Stabilization is the process of making something steady or stable.,approved
3,standardization,making things uniform under shared rules,a growth in variation,a private exception,1,Standardization is the process of making things follow the same rules or form.,approved
3,synchronization,the act of making things happen at the same time,a deliberate delay,a random separation,1,Synchronization is making events or systems happen at the same time or rate.,approved
3,anisotropy,directional dependence of a property,perfect sameness in all directions,a legal classification,1,Anisotropy means a property varies depending on direction.,approved
3,boson,a particle type that can share the same quantum state,a chemical solvent,a market condition,1,A boson is a particle that can occupy the same quantum state as others.,approved
3,decoherence,loss of quantum coherence,a rise in legal authority,a perfect measurement,1,Decoherence is the loss of quantum coherence through interaction with the environment.,approved
3,fermion,a particle type that cannot share the same quantum state,a rhetorical figure,a financial asset,1,A fermion is a particle that obeys the exclusion principle.,approved
3,inertia,resistance to change in motion or state,a sudden acceleration,a legal exemption,1,Inertia is resistance to change in motion or state.,approved
3,isotropy,uniformity in all directions,strong political bias,a chemical reaction,1,Isotropy means having the same properties in all directions.,approved
3,quasar,an extremely bright active galactic nucleus,a simple molecule,a court order,1,A quasar is an extremely bright distant active galactic nucleus.,approved
3,singularity,a point where normal rules or values break down,a common routine,a mild preference,1,A singularity is a point where ordinary rules or measurements cease to apply.,approved
3,superposition,the combination of multiple possible states,a single final vote,a biological species,1,Superposition is the coexistence of multiple possible states in quantum theory.,approved
3,waveform,the shape of a wave signal,a written legal claim,a market monopoly,1,A waveform is the shape or pattern of a wave signal.,approved
3,wary,careful because of possible danger,lack of careful because of possible danger,a written record concerning careful because of possible danger,1,Wary means careful because of possible danger.,approved
3,withdraw,to move back or remove from participation,to stay involved or move forward,a result that may follow when people move back or remove from participation,1,Withdraw means to move back or remove from participation.,approved
3,withdrawal,the act of removal or retreat,lack of act of removal or retreat,a written record concerning act of removal or retreat,1,Withdrawal means the act of removal or retreat.,approved
3,withdrawn,quiet and socially distant,lack of quiet and socially distant,a social situation shaped by quiet and socially distant,1,Withdrawn means quiet and socially distant.,approved
3,withhold,to hold back or refuse to give,to prevent or reverse that action,a situation that makes people hold back or refuse to give,1,Withhold means to hold back or refuse to give.,approved
3,withstand,to endure pressure or damage,to prevent or reverse that action,a person responsible for deciding whether to endure pressure or damage,1,Withstand means to endure pressure or damage.,approved
3,witty,clever and amusing in speech,lack of clever and amusing in speech,a written record concerning clever and amusing in speech,1,Witty means clever and amusing in speech.,approved
3,tally,a count or record of totals,lack of count or record of totals,a written record concerning count or record of totals,1,Tally means a count or record of totals.,approved
3,temporary,lasting for only a short time,lack of lasting for only a short time,a personal reaction connected to lasting for only a short time,1,Temporary means lasting for only a short time.,approved
3,tentative,not certain or not final,lack of not certain or not final,a formal decision about not certain or not final,1,Tentative means not certain or not final.,approved
3,thesis,a main argument or long academic paper,lack of main argument or long academic paper,a careful judgment involving main argument or long academic paper,1,Thesis means a main argument or long academic paper.,approved
3,thriving,growing or doing very well,lack of growing or doing very well,a formal decision about growing or doing very well,1,Thriving means growing or doing very well.,approved
3,tolerate,to accept something unpleasant,to reject or refuse,a rule about when to accept something unpleasant,1,Tolerate means to accept something unpleasant.,approved
3,transient,lasting only briefly,lack of lasting only briefly,a formal decision about lasting only briefly,1,Transient means lasting only briefly.,approved
3,traverse,to cross or travel across,to prevent or reverse that action,a plan made before people cross or travel across,1,Traverse means to cross or travel across.,approved
3,trustworthy,deserving confidence,lack of deserving confidence,a written record concerning deserving confidence,1,Trustworthy means deserving confidence.,approved
3,tuition,money paid for instruction,lack of money paid for instruction,a formal decision about money paid for instruction,1,Tuition means money paid for instruction.,approved
3,undergraduate,a college student before a first degree,lack of college student before a first degree,a social situation shaped by college student before a first degree,1,Undergraduate means a college student before a first degree.,approved
3,underdeveloped,not fully grown or advanced,lack of not fully grown or advanced,a formal decision about not fully grown or advanced,1,Underdeveloped means not fully grown or advanced.,approved
3,underprivileged,lacking social or economic advantages,lack of lacking social or economic advantages,a rule used when dealing with lacking social or economic advantages,1,Underprivileged means lacking social or economic advantages.,approved
3,unbiased,fair and not influenced by preference,lack of fair and not influenced by preference,a written record concerning fair and not influenced by preference,1,Unbiased means fair and not influenced by preference.,approved
3,unanimous,fully agreed by everyone involved,lack of fully agreed by everyone involved,a long-term result caused by fully agreed by everyone involved,1,Unanimous means fully agreed by everyone involved.,approved
3,unanimity,complete agreement among all,clear disagreement or refusal to cooperate,a rule used when dealing with complete agreement among all,1,Unanimity means complete agreement among all.,approved
3,synthetic,made artificially rather than naturally,lack of made artificially rather than naturally,a formal decision about made artificially rather than naturally,1,Synthetic means made artificially rather than naturally.,approved
3,thermal,related to heat,lack of related to heat,a public discussion about related to heat,1,Thermal means related to heat.,approved
3,thermometer,an instrument for measuring temperature,lack of instrument for measuring temperature,a written record concerning instrument for measuring temperature,1,Thermometer means an instrument for measuring temperature.,approved
3,thermostat,a device that controls temperature,lack of device that controls temperature,a personal reaction connected to device that controls temperature,1,Thermostat means a device that controls temperature.,approved
3,throng,a large crowded group,lack of large crowded group,a careful judgment involving large crowded group,1,Throng means a large crowded group.,approved
3,timid,shy or easily frightened,lack of shy or easily frightened,a social situation shaped by shy or easily frightened,1,Timid means shy or easily frightened.,approved
3,toxin,a poisonous substance,lack of poisonous substance,a personal reaction connected to poisonous substance,1,Toxin means a poisonous substance.,approved
3,underscore,to emphasize,to prevent or reverse that action,a result that may follow when people emphasize,1,Underscore means to emphasize.,approved
3,undersell,to sell at a lower price,to prevent or reverse that action,a result that may follow when people sell at a lower price,1,Undersell means to sell at a lower price.,approved
3,undersigned,the person who has signed below,lack of person who has signed below,a rule used when dealing with person who has signed below,1,Undersigned means the person who has signed below.,approved
3,understatement,a statement that makes something seem less important,lack of statement that makes something seem less important,a public discussion about statement that makes something seem less important,1,Understatement means a statement that makes something seem less important.,approved
3,unilateral,done by one side only,lack of done by one side only,a public discussion about done by one side only,1,Unilateral means done by one side only.,approved
